id,交易筆棟數,建物現況格局-房,鄉鎮市區,電梯,建物型態,主要用途,總樓層數,主建物面積,有無管理組織
405,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,45.4,有
406,1,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,77.81,有
407,1,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,77.81,有
408,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,46.16,有
409,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,66.55,有
410,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.71,有
411,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,46.4,有
412,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,66.77,有
413,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,46.4,有
414,0,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,48.66,有
415,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.71,有
416,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,58.92,有
417,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,58.72,有
418,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.71,有
419,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,46.16,有
420,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,58.92,有
421,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,58.92,有
422,1,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,76.06,有
423,0,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,47.71,有
424,0,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,47.71,有
425,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,66.77,有
426,0,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,46.51,有
427,0,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,46.4,有
428,0,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,46.4,有
429,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.71,有
430,2,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,76.06,有
431,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,58.92,有
432,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.71,有
433,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,66.77,有
434,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,66.92,有
435,0,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,47.71,有
436,2,0,中山區,有,住宅大樓(11層含以上有電梯),商業用,15,199.04,有
437,1,0,中山區,有,住宅大樓(11層含以上有電梯),商業用,15,166.39,有
438,1,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,76.06,有
439,1,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,76.06,有
440,1,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,76.06,有
441,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.71,有
442,1,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,78.14,有
443,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,66.55,有
444,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,46.86,有
445,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,46.86,有
446,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,58.92,有
447,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,47.71,有
448,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,58.92,有
449,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,45.4,有
450,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.71,有
451,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,45.4,有
452,2,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,76.06,有
453,1,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,76.06,有
454,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,46.02,有
455,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,58.92,有
456,1,0,中山區,有,住宅大樓(11層含以上有電梯),商業用,15,93.97,有
457,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,48.66,有
458,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,48.66,有
459,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,48.66,有
460,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,45.97,有
